     Orden	Palabra	Frec.absoluta 	 Frec.normalizada 
2345	responde 	    6,204	4066
2346	tren	    6,204	4066
2347	presidencial	    6,202	4065
2348	vías	    6,202	4065
2349	interesa	    6,199	4063
2350	supremo 	    6,195	4060
2351	enemigo 	    6,192	4058
2352	respectivamente 	    6,192	4058
2353	dificultad	    6,181	4051
2354	similares	    6,176	4048
2355	entiende	    6,168	4043
2356	morales 	    6,163	4039
2357	alimentación	    6,162	4039
2358	norma 	    6,157	4035
2359	mental 	    6,154	4033
2360	soluciones	    6,151	4031
2361	adecuado 	    6,149	4030
2362	cuánto 	    6,143	4026
2363	santos 	    6,141	4025
2364	amistad 	    6,140	4024
2365	derrota	    6,139	4024
2366	consiguió	    6,138	4023
2367	positivo	    6,138	4023
2368	compañías  	    6,137	4022
2369	ejecución	    6,134	4020
2370	expresó 	    6,127	4016
2371	embajador 	    6,126	4015
2372	tomás 	    6,125	4014
2373	dulce	    6,119	4010
2374	promedio 	    6,115	4008
2375	letras	    6,113	4006
2376	cuesta 	    6,110	4005
2377	academia 	    6,107	4003
2378	mando  	    6,102	3999
2379	costumbre 	    6,098	3997
2380	colectivo	    6,097	3996
2381	piedras	    6,097	3996
2382	rasgos 	    6,090	3991
2383	industriales	    6,089	3991
2384	mía 	    6,087	3989
2385	protesta	    6,087	3989
2386	viajes	    6,086	3989
2387	chica	    6,085	3988
2388	periódicos	    6,085	3988
2389	moneda  	    6,083	3987
2390	órganos 	    6,079	3984
2391	comunicado  	    6,078	3984
2392	mantenimiento 	    6,074	3981
2393	geografía	    6,072	3980
2394	manejo 	    6,072	3980
2395	fría	    6,068	3977
2396	patrimonio	    6,064	3974
2397	exclusivamente 	    6,061	3972
2398	antiguos	    6,060	3972
2399	universidades	    6,058	3970
2400	frecuente	    6,054	3968
2401	oficio	    6,053	3967
2402	ayudar 	    6,050	3965
2403	pedido	    6,048	3964
2404	superar	    6,045	3962
2405	auto	    6,042	3960
2406	relato	    6,038	3957
2407	unido	    6,038	3957
2408	sentado 	    6,037	3957
2409	quisiera	    6,035	3955
2410	detalle	    6,030	3952
2411	quedaron 	    6,024	3948
2412	obligado	    6,017	3944
2413	libres	    6,015	3942
2414	panamá  	    6,012	3940
2415	acabó 	    6,009	3938
2416	aeropuerto	    6,009	3938
2417	pobreza 	    6,007	3937
2418	reflexión	    6,004	3935
2419	cumbre 	    6,002	3934
2420	imaginación 	    6,000	3932
2421	cubano 	    5,997	3930
2422	solar	    5,997	3930
2423	costo	    5,995	3929
2424	hubieran	    5,994	3928
2425	tesis	    5,994	3928
2426	catalán	    5,990	3926
2427	armadas 	    5,988	3925
2428	hice	    5,977	3917
2429	oír	    5,975	3916
2430	dada 	    5,969	3912
2431	estabilidad	    5,966	3910
2432	vaso	    5,965	3909
2433	mecanismo  	    5,960	3906
2434	escribe	    5,958	3905
2435	aprender	    5,957	3904
2436	cambiado 	    5,957	3904
2437	bilbao	    5,954	3902
2438	naturalmente 	    5,954	3902
2439	comandante  	    5,946	3897
2440	potencia	    5,944	3896
2441	toros	    5,944	3896
2442	puro	    5,940	3893
2443	elegir	    5,937	3891
2444	facultad	    5,936	3890
2445	ocupa 	    5,936	3890
2446	patio	    5,935	3890
2447	recuperar	    5,931	3887
2448	corta	    5,930	3887
2449	pase 	    5,929	3886
2450	necesarios 	    5,925	3883
2451	responder 	    5,922	3881
2452	reuniones	    5,922	3881
2453	daño 	    5,920	3880
2454	trabaja	    5,919	3879
2455	promoción 	    5,908	3872
2456	ingredientes	    5,904	3869
2457	descubrir	    5,903	3869
2458	viviendas	    5,903	3869
2459	señal	    5,898	3866
2460	clínica	    5,896	3864
2461	tradicionales	    5,894	3863
2462	loco	    5,892	3862
2463	paseo 	    5,880	3854
2464	arena	    5,876	3851
2465	consideración	    5,876	3851
2466	deberán 	    5,876	3851
2467	esquema  	    5,875	3850
2468	creado 	    5,872	3849
2469	utilizado	    5,866	3845
2470	establecido	    5,865	3844
2471	concierto	    5,860	3841
2472	manifestación	    5,859	3840
2473	enfermos 	    5,857	3839
2474	rechazo 	    5,852	3835
2475	salido	    5,847	3832
2476	dejan	    5,840	3828
2477	israel	    5,837	3826
2478	consciente 	    5,834	3824
2479	propone 	    5,833	3823
2480	manifiesto	    5,832	3822
2481	publicado	    5,832	3822
2482	ejemplos 	    5,829	3820
2483	llamaba 	    5,826	3818
2484	barco	    5,825	3818
2485	usar	    5,824	3817
2486	signo	    5,821	3815
2487	afecta	    5,816	3812
2488	árbol	    5,816	3812
2489	riqueza	    5,813	3810
2490	difusión	    5,812	3809
2491	quiera	    5,811	3809
2492	disciplina	    5,809	3807
2493	vemos 	    5,805	3805
2494	felicidad	    5,804	3804
2495	mejora 	    5,803	3803
2496	dirige	    5,802	3803
2497	correr	    5,795	3798
2498	dimensión 	    5,793	3797
2499	oscar	    5,793	3797
2500	petición	    5,792	3796
2501	transformación	    5,792	3796
2502	notable	    5,789	3794
2503	pista	    5,784	3791
2504	andalucía	    5,779	3788
2505	marta 	    5,775	3785
2506	realizada	    5,774	3784
2507	aplicar	    5,773	3784
2508	cena 	    5,773	3784
2509	eléctrica	    5,767	3780
2510	enviado	    5,765	3778
2511	modos  	    5,763	3777
2512	fortuna	    5,759	3774
2513	conflictos	    5,758	3774
2514	infancia	    5,758	3774
2515	permitió	    5,756	3772
2516	campesinos  	    5,755	3772
2517	tercero	    5,755	3772
2518	desea 	    5,754	3771
2519	sida	    5,753	3771
2520	obligación	    5,752	3770
2521	oriente	    5,752	3770
2522	colección	    5,751	3769
2523	eficaz	    5,751	3769
2524	exceso 	    5,743	3764
2525	evidencia	    5,741	3763
2526	poderes 	    5,741	3763
2527	demostrar 	    5,740	3762
2528	muestran 	    5,740	3762
2529	protagonista	    5,739	3761
2530	alcanza 	    5,733	3757
2531	recuerdos 	    5,728	3754
2532	montaña 	    5,727	3753
2533	dictadura	    5,726	3753
2534	observa	    5,725	3752
2535	indígenas	    5,724	3752
2536	pasan 	    5,720	3749
2537	ortega	    5,719	3748
2538	claridad	    5,717	3747
2539	estuviera	    5,717	3747
2540	consulta	    5,715	3746
2541	financiero	    5,714	3745
2542	inflación	    5,713	3744
2543	senado 	    5,711	3743
2544	tropas	    5,711	3743
2545	mexicana 	    5,708	3741
2546	correspondientes 	    5,699	3735
2547	levantó	    5,695	3732
2548	vuelo	    5,694	3732
2549	imperio	    5,692	3731
2550	gana 	    5,691	3730
2551	agente 	    5,690	3729
2552	respuestas 	    5,682	3724
2553	civiles	    5,677	3721
2554	pierde	    5,676	3720
2555	moderno 	    5,675	3719
2556	homenaje 	    5,672	3717
2557	establecimiento	    5,671	3717
2558	crea	    5,669	3715
2559	fiestas	    5,668	3715
2560	números 	    5,668	3715
2561	controlar	    5,667	3714
2562	tratando	    5,667	3714
2563	intenta	    5,665	3713
2564	circulación	    5,659	3709
2565	reserva	    5,659	3709
2566	silla	    5,659	3709
2567	franceses	    5,657	3708
2568	expresa 	    5,653	3705
2569	escribió	    5,651	3704
2570	virtud	    5,646	3700
2571	satisfacción	    5,645	3700
2572	huevos 	    5,642	3698
2573	vos	    5,638	3695
2574	descenso 	    5,637	3694
2575	terrorismo	    5,635	3693
2576	ecuador 	    5,634	3693
2577	chico	    5,632	3691
2578	segura 	    5,632	3691
2579	contó	    5,629	3689
2580	líderes	    5,627	3688
2581	lentamente 	    5,624	3686
2582	historias	    5,618	3682
2583	galicia	    5,617	3681
2584	acompañado  	    5,615	3680
2585	décadas 	    5,615	3680
2586	reconoció	    5,615	3680
2587	hago 	    5,614	3679
2588	apartado	    5,609	3676
2589	feria	    5,609	3676
2590	rueda	    5,603	3672
2591	usuarios	    5,602	3672
2592	útil	    5,602	3672
2593	emilio	    5,598	3669
2594	cumplimiento 	    5,595	3667
2595	transición	    5,595	3667
2596	campeón  	    5,594	3666
2597	xx	    5,592	3665
2598	verse	    5,582	3658
2599	anteriormente	    5,581	3658
2600	defender	    5,581	3658
2601	cuáles	    5,580	3657
2602	hecha 	    5,578	3656
2603	remedio 	    5,577	3655
2604	ponen 	    5,576	3654
2605	debo 	    5,573	3653
2606	procedimientos 	    5,573	3653
2607	gritos	    5,566	3648
2608	círculo	    5,565	3647
2609	norteamericanos 	    5,564	3647
2610	rojas	    5,562	3645
2611	dirigido	    5,561	3645
2612	delitos	    5,560	3644
2613	avenida	    5,547	3635
2614	alonso	    5,545	3634
2615	obtuvo	    5,543	3633
2616	matar 	    5,536	3628
2617	cortes	    5,532	3626
2618	grados 	    5,528	3623
2619	previamente 	    5,521	3618
2620	publicación	    5,521	3618
2621	aprendizaje	    5,517	3616
2622	motor 	    5,515	3615
2623	crítico	    5,514	3614
2624	señores 	    5,512	3613
2625	muchacha  	    5,508	3610
2626	rumbo 	    5,506	3609
2627	trato	    5,502	3606
2628	arquitectura	    5,501	3605
2629	querer	    5,499	3604
2630	encargado 	    5,498	3603
2631	pensé 	    5,496	3602
2632	distrito	    5,495	3601
2633	rápida	    5,494	3601
2634	ay	    5,491	3599
2635	campeonato  	    5,491	3599
2636	gabriel	    5,479	3591
2637	maestros 	    5,479	3591
2638	reformas	    5,478	3590
2639	explotación	    5,474	3588
2640	católica	    5,469	3584
2641	contenidos 	    5,469	3584
2642	sustancias 	    5,469	3584
2643	regresar	    5,458	3577
2644	formado 	    5,457	3576
2645	creía	    5,456	3576
2646	juzgado 	    5,455	3575
2647	bolivia	    5,446	3569
2648	famoso 	    5,446	3569
2649	avance 	    5,445	3569
2650	particulares	    5,445	3569
2651	usa 	    5,443	3567
2652	cerrar	    5,440	3565
2653	aprobación 	    5,438	3564
2654	llamadas 	    5,438	3564
2655	termina	    5,437	3563
2656	borde	    5,436	3563
2657	fenómenos  	    5,431	3559
2658	of	    5,430	3559
2659	metro 	    5,429	3558
2660	corrientes	    5,427	3557
2661	dedicado 	    5,423	3554
2662	zaragoza 	    5,422	3554
2663	creen	    5,421	3553
2664	continente	    5,419	3552
2665	ventajas	    5,419	3552
2666	clásico	    5,418	3551
2667	orquesta	    5,417	3550
2668	oye 	    5,417	3550
2669	analizar	    5,416	3550
2670	ernesto	    5,412	3547
2671	cuentan 	    5,410	3546
2672	diarios	    5,410	3546
2673	dueño 	    5,403	3541
2674	actitudes	    5,399	3538
2675	bajar	    5,397	3537
2676	telefónica	    5,396	3537
2677	rusia	    5,395	3536
2678	coalición	    5,394	3535
2679	gustaría	    5,389	3532
2680	cerrado	    5,385	3529
2681	descubierto	    5,381	3527
2682	urbano 	    5,380	3526
2683	atentado	    5,373	3521
2684	deportivo	    5,372	3521
2685	viendo	    5,372	3521
2686	órgano 	    5,370	3519
2687	asociaciones 	    5,365	3516
2688	instalación	    5,362	3514
2689	hombros 	    5,360	3513
2690	introducción	    5,358	3512
2691	demostrado 	    5,355	3510
2692	determinados 	    5,354	3509
2693	mostrar	    5,352	3508
2694	atmósfera 	    5,351	3507
2695	gentes 	    5,349	3506
2696	moreno 	    5,347	3504
2697	sabido	    5,347	3504
2698	diga	    5,344	3502
2699	vender	    5,343	3502
2700	dejaba	    5,342	3501
2701	polémica 	    5,339	3499
2702	guillermo	    5,338	3498
2703	vacaciones 	    5,333	3495
2704	vidas	    5,331	3494
2705	mediados 	    5,330	3493
2706	subir	    5,330	3493
2707	iniciar	    5,328	3492
2708	droga	    5,323	3489
2709	iv	    5,320	3487
2710	asegurar	    5,319	3486
2711	entusiasmo 	    5,318	3485
2712	prestigio	    5,317	3485
2713	centrales	    5,316	3484
2714	edificios	    5,316	3484
2715	contestó	    5,313	3482
2716	extraña	    5,313	3482
2717	signos	    5,312	3481
2718	cristo	    5,311	3481
2719	permitir	    5,311	3481
2720	sensibilidad	    5,305	3477
2721	lógico	    5,304	3476
2722	terminado 	    5,302	3475
2723	bar	    5,301	3474
2724	comenzaron  	    5,298	3472
2725	ciudadano 	    5,296	3471
2726	actuaciones 	    5,293	3469
2727	particularmente	    5,286	3464
2728	especialistas	    5,285	3464
2729	canciones 	    5,280	3460
2730	golpes	    5,277	3459
2731	pertenece 	    5,277	3459
2732	legislación	    5,276	3458
2733	delegación	    5,273	3456
2734	anoche 	    5,270	3454
2735	dignidad	    5,269	3453
2736	armada 	    5,266	3451
2737	unidas	    5,260	3447
2738	citado	    5,256	3445
2739	conveniente	    5,256	3445
2740	empresario 	    5,256	3445
2741	llaman	    5,253	3443
2742	presos 	    5,252	3442
2743	expansión 	    5,248	3439
2744	radical	    5,248	3439
2745	advirtió	    5,243	3436
2746	tomando 	    5,243	3436
2747	comenzar  	    5,242	3436
2748	conforme 	    5,239	3434
2749	detenidos	    5,239	3434
2750	deseos 	    5,234	3430
2751	impulso 	    5,228	3426
2752	dispone 	    5,227	3426
2753	necesarias 	    5,223	3423
2754	esquina 	    5,221	3422
2755	productores	    5,220	3421
2756	ponerse 	    5,218	3420
2757	destaca 	    5,217	3419
2758	mantuvo 	    5,215	3418
2759	cola	    5,210	3415
2760	tuviera	    5,210	3415
2761	inmediata	    5,206	3412
2762	mexicanos  	    5,206	3412
2763	socios	    5,206	3412
2764	bajas	    5,205	3411
2765	informes	    5,205	3411
2766	romero 	    5,204	3411
2767	jefes	    5,203	3410
2768	argumento 	    5,202	3409
2769	cultivo	    5,201	3409
2770	vivía	    5,200	3408
2771	opiniones	    5,199	3407
2772	reloj	    5,199	3407
2773	in	    5,198	3407
2774	habido	    5,195	3405
2775	riesgos	    5,190	3401
2776	meta 	    5,188	3400
2777	gonzalo 	    5,187	3400
2778	laboratorio	    5,184	3398
2779	comunicaciones  	    5,183	3397
2780	medias 	    5,177	3393
2781	elena	    5,176	3392
2782	escolar	    5,175	3392
2783	danza 	    5,173	3390
2784	terrible	    5,172	3390
2785	notas	    5,171	3389
2786	entero	    5,169	3388
2787	suave 	    5,168	3387
2788	alejandro	    5,167	3386
2789	activa	    5,161	3382
2790	dirigida	    5,159	3381
2791	eje	    5,157	3380
2792	variedad	    5,157	3380
2793	fácilmente	    5,156	3379
2794	canción 	    5,154	3378
2795	cantidades 	    5,154	3378
2796	orientación	    5,144	3371
2797	fotos	    5,141	3369
2798	definir	    5,137	3367
2799	masas  	    5,135	3365
2800	tabaco 	    5,134	3365
2801	aventura	    5,130	3362
2802	próximas 	    5,129	3361
2803	pude 	    5,129	3361
2804	llegaba	    5,127	3360
2805	conocidos 	    5,126	3360
2806	raíces	    5,122	3357
2807	gravedad 	    5,121	3356
2808	blancos 	    5,119	3355
2809	gabinete	    5,113	3351
2810	alfredo	    5,112	3350
2811	municipio	    5,100	3342
2812	arroz	    5,098	3341
2813	potencial	    5,097	3341
2814	islas	    5,096	3340
2815	goles	    5,094	3339
2816	oportunidades 	    5,093	3338
2817	estuvieron	    5,090	3336
2818	caballero	    5,084	3332
2819	colocar	    5,084	3332
2820	comentarios 	    5,084	3332
2821	profundidad	    5,084	3332
2822	comprensión 	    5,083	3331
2823	panorama  	    5,081	3330
2824	otan	    5,080	3329
2825	revolucionario	    5,080	3329
2826	síntesis	    5,080	3329
2827	seno 	    5,078	3328
2828	anda 	    5,076	3327
2829	dependencia 	    5,076	3327
2830	primavera	    5,076	3327
2831	aumenta 	    5,071	3323
2832	manifiesta	    5,071	3323
2833	fruto	    5,069	3322
2834	brillante	    5,062	3318
2835	sindicato	    5,062	3318
2836	fechas	    5,060	3316
2837	torre	    5,060	3316
2838	oscuridad	    5,058	3315
2839	anuncio 	    5,056	3314
2840	intelectuales	    5,055	3313
2841	ampliación	    5,053	3312
2842	conservación 	    5,048	3308
2843	inicia	    5,046	3307
2844	alcanzó 	    5,045	3306
2845	teniente	    5,045	3306
2846	demuestra 	    5,042	3304
2847	salas	    5,040	3303
2848	vital	    5,038	3302
2849	pudieron	    5,033	3299
2850	carreras	    5,032	3298
2851	sabor	    5,031	3297
2852	combate 	    5,028	3295
2853	efectivamente	    5,028	3295
2854	lágrimas	    5,025	3293
2855	disminución 	    5,021	3291
2856	plantea	    5,021	3291
2857	provincial	    5,020	3290
2858	miraba 	    5,014	3286
2859	caracas 	    5,012	3285
2860	situado	    5,012	3285
2861	caballos	    5,008	3282
2862	proteínas	    5,008	3282
2863	biblioteca	    5,006	3281
2864	recientes	    5,006	3281
2865	afuera	    5,004	3280
2866	jiménez 	    5,002	3278
2867	tasas	    5,001	3278
2868	levanta	    4,998	3276
2869	cuarta	    4,995	3274
2870	taza	    4,995	3274
2871	conclusiones 	    4,988	3269
2872	necesitan	    4,987	3268
2873	negativa	    4,987	3268
2874	dieta	    4,986	3268
2875	alcanzado 	    4,985	3267
2876	andar	    4,982	3265
2877	destacó 	    4,980	3264
2878	pilar	    4,980	3264
2879	flor	    4,979	3263
2880	suficientes	    4,979	3263
2881	existentes	    4,977	3262
2882	utilizan	    4,976	3261
2883	ceremonia 	    4,973	3259
2884	ése 	    4,972	3259
2885	abogados 	    4,971	3258
2886	mantienen 	    4,969	3257
2887	castellano	    4,965	3254
2888	vivido	    4,965	3254
2889	representan	    4,964	3253
2890	cámaras 	    4,959	3250
2891	aparecer	    4,955	3247
2892	dioses	    4,953	3246
2893	programación 	    4,953	3246
2894	bogotá 	    4,945	3241
2895	médica 	    4,944	3240
2896	opciones 	    4,942	3239
2897	permiso 	    4,941	3238
2898	verdes	    4,941	3238
2899	mensajes 	    4,938	3236
2900	participantes	    4,936	3235
2901	sacó 	    4,935	3234
2902	profesión	    4,933	3233
2903	senador 	    4,932	3232
2904	alvarez	    4,928	3230
2905	convocatoria	    4,927	3229
2906	largas	    4,926	3228
2907	afirmar	    4,925	3228
2908	arma 	    4,919	3224
2909	americano 	    4,915	3221
2910	provincias	    4,911	3219
2911	cuantos 	    4,906	3215
2912	proporción	    4,906	3215
2913	rival	    4,906	3215
2914	angustia	    4,905	3215
2915	escasa 	    4,905	3215
2916	largos	    4,904	3214
2917	granada 	    4,902	3213
2918	destrucción	    4,900	3211
2919	europeas 	    4,899	3211
2920	podríamos 	    4,899	3211
2921	celebración	    4,898	3210
2922	traje	    4,898	3210
2923	parecían	    4,895	3208
2924	jurídico	    4,894	3207
2925	techo	    4,894	3207
2926	elevado	    4,890	3205
2927	financiera	    4,888	3204
2928	jean	    4,884	3201
2929	utilizando	    4,884	3201
2930	cubrir	    4,883	3200
2931	descanso 	    4,883	3200
2932	percepción 	    4,883	3200
2933	iu	    4,877	3196
2934	bosque 	    4,876	3196
2935	continuidad	    4,874	3194
2936	británico	    4,873	3194
2937	financiación	    4,873	3194
2938	bienestar	    4,870	3192
2939	afectados	    4,869	3191
2940	consejero	    4,867	3190
2941	dé	    4,864	3188
2942	diría	    4,863	3187
2943	descubrimiento 	    4,862	3186
2944	escándalo 	    4,862	3186
2945	estancia	    4,860	3185
2946	seguros 	    4,858	3184
2947	argumentos 	    4,857	3183
2948	espero 	    4,854	3181
2949	deportes	    4,853	3181
2950	informa	    4,850	3179
2951	preparado 	    4,850	3179
2952	negó 	    4,849	3178
2953	añadir	    4,848	3177
2954	corona 	    4,848	3177
2955	cabezas 	    4,847	3177
2956	cadáver	    4,847	3177
2957	iguales	    4,846	3176
2958	pendiente	    4,843	3174
2959	relacionados	    4,843	3174
2960	abuelo	    4,841	3173
2961	decirle	    4,841	3173
2962	normalmente  	    4,841	3173
2963	oficinas	    4,841	3173
2964	revisión	    4,839	3171
2965	frecuentes	    4,833	3167
2966	institucional	    4,833	3167
2967	cae 	    4,832	3167
2968	previa	    4,831	3166
2969	ricos	    4,831	3166
2970	símbolo 	    4,829	3165
2971	sostiene	    4,828	3164
2972	capa 	    4,826	3163
2973	temporal	    4,825	3162
2974	vigilancia	    4,825	3162
2975	mínima 	    4,824	3162
2976	columna 	    4,823	3161
2977	ves	    4,823	3161
2978	ofrecen	    4,822	3160
2979	acababa 	    4,821	3160
2980	determinada 	    4,821	3160
2981	ciu	    4,818	3158
2982	salsa	    4,818	3158
2983	ruta	    4,815	3156
2984	cursos 	    4,812	3154
2985	huesos 	    4,811	3153
2986	permitido	    4,811	3153
2987	difíciles	    4,810	3152
2988	amiga 	    4,809	3152
2989	observación	    4,807	3150
2990	escritores	    4,806	3150
2991	asumir 	    4,802	3147
2992	sufrido	    4,802	3147
2993	setenta	    4,800	3146
2994	dejaron	    4,798	3145
2995	guía	    4,798	3145
2996	haría	    4,795	3143
2997	nervioso	    4,794	3142
2998	vivos	    4,793	3141
2999	dimensiones 	    4,791	3140
3000	atender	    4,790	3139
3001	contratos	    4,789	3139
3002	fidel	    4,789	3139
3003	bandera 	    4,788	3138
3004	quedarse 	    4,785	3136
3005	regular	    4,784	3135
3006	india	    4,780	3133
3007	presupuestos 	    4,779	3132
3008	rendimiento	    4,779	3132
3009	igualdad	    4,778	3131
3010	tocar	    4,776	3130
3011	jurídica	    4,775	3129
3012	confusión	    4,774	3129
3013	sufrir	    4,774	3129
3014	descripción	    4,773	3128
3015	ilusión	    4,772	3127
3016	bajos	    4,771	3127
3017	actriz	    4,768	3125
3018	perfil	    4,765	3123
3019	malos 	    4,763	3122
3020	consideró	    4,760	3120
3021	posiblemente 	    4,757	3118
3022	tiro	    4,755	3116
3023	colonia	    4,752	3114
3024	premios 	    4,752	3114
3025	espectadores 	    4,750	3113
3026	banesto 	    4,746	3110
3027	dedo 	    4,746	3110
3028	determinadas 	    4,746	3110
3029	humo 	    4,745	3110
3030	sujetos	    4,743	3108
3031	oeste	    4,739	3106
3032	espaldas 	    4,736	3104
3033	gira	    4,735	3103
3034	hoja	    4,735	3103
3035	integrantes	    4,734	3103
3036	rural	    4,731	3101
3037	nariz	    4,729	3099
3038	esencia 	    4,728	3099
3039	cura	    4,727	3098
3040	reducido	    4,727	3098
3041	perfecto	    4,722	3095
3042	intentó	    4,720	3093
3043	gustavo	    4,719	3093
3044	básicos 	    4,716	3091
3045	enemigos 	    4,715	3090
3046	muestras 	    4,714	3089
3047	insistió	    4,713	3089
3048	letra	    4,709	3086
3049	pescado 	    4,707	3085
3050	automóvil	    4,706	3084
3051	testigos	    4,706	3084
3052	toneladas	    4,706	3084
3053	fama 	    4,705	3084
3054	impedir	    4,704	3083
3055	eliminar	    4,702	3082
3056	facilidad	    4,697	3078
3057	templo 	    4,695	3077
3058	reservas	    4,694	3076
3059	iglesias	    4,692	3075
3060	privadas	    4,692	3075
3061	logra	    4,691	3074
3062	necesariamente 	    4,689	3073
3063	ofreció	    4,689	3073
3064	ue	    4,688	3072
3065	electorales	    4,687	3072
3066	existir	    4,687	3072
3067	ópera	    4,682	3068
3068	emoción 	    4,679	3067
3069	testigo	    4,679	3067
3070	maneras 	    4,678	3066
3071	dato	    4,674	3063
3072	ácido	    4,673	3063
3073	banca 	    4,670	3061
3074	formal	    4,670	3061
3075	canto	    4,669	3060
3076	identificación	    4,669	3060
3077	directiva	    4,667	3059
3078	relativamente	    4,666	3058
3079	preparar	    4,661	3055
3080	blancas 	    4,660	3054
3081	destacar	    4,660	3054
3082	julián	    4,660	3054
3083	núcleo	    4,659	3053
3084	frases	    4,652	3049
3085	hiciera	    4,652	3049
3086	sencillo	    4,652	3049
3087	colectiva	    4,650	3048
3088	femenino 	    4,650	3048
3089	cristal	    4,649	3047
3090	seco 	    4,649	3047
3091	débil	    4,648	3046
3092	cebolla	    4,647	3046
3093	federico	    4,646	3045
3094	consigue 	    4,644	3044
3095	religiosa	    4,644	3044
3096	pérdidas	    4,643	3043
3097	realizan	    4,642	3042
3098	plato	    4,641	3042
3099	curiosidad	    4,638	3040
3100	instancia	    4,638	3040
3101	monte 	    4,637	3039
3102	ética	    4,636	3038
3103	química 	    4,633	3036
3104	hablado 	    4,632	3036
3105	permita	    4,630	3034
3106	merece 	    4,628	3033
3107	salen	    4,626	3032
3108	pujol	    4,622	3029
3109	cientos	    4,619	3027
3110	desarrollado	    4,613	3023
3111	dr	    4,613	3023
3112	daños 	    4,611	3022
3113	romper 	    4,609	3021
3114	alternativas	    4,608	3020
3115	mediodía 	    4,608	3020
3116	externa	    4,602	3016
3117	galería	    4,602	3016
3118	fotografías	    4,601	3015
3119	hablan	    4,601	3015
3120	legales	    4,600	3015
3121	desarrolla	    4,599	3014
3122	habíamos 	    4,599	3014
3123	salto	    4,599	3014
3124	art	    4,598	3013
3125	gutiérrez	    4,597	3013
3126	portugal	    4,597	3013
3127	moscú  	    4,596	3012
3128	perros	    4,596	3012
3129	plazas	    4,596	3012
3130	responsabilidades	    4,596	3012
3131	gil	    4,592	3009
3132	ataques 	    4,590	3008
3133	positiva	    4,583	3004
3134	tranquilo	    4,581	3002
3135	toca	    4,579	3001
3136	costumbres 	    4,576	2999
3137	adultos	    4,575	2998
3138	aparentemente 	    4,570	2995
3139	obispo	    4,570	2995
3140	acusado 	    4,569	2994
3141	incluyendo	    4,568	2994
3142	odio	    4,568	2994
3143	contactos 	    4,564	2991
3144	bomba  	    4,563	2990
3145	reacciones 	    4,561	2989
3146	vueltas	    4,559	2988
3147	estábamos  	    4,557	2987
3148	desaparición	    4,553	2984
3149	rincón	    4,551	2983
3150	gris	    4,549	2981
3151	hacemos  	    4,548	2981
3152	mercedes  	    4,547	2980
3153	intercambio	    4,546	2979
3154	créditos	    4,543	2977
3155	característica	    4,542	2977
3156	heridos	    4,542	2977
3157	comunistas 	    4,541	2976
3158	deberían	    4,540	2975
3159	dirigió	    4,539	2975
3160	sentirse	    4,537	2973
3161	harina	    4,530	2969
3162	dinámica 	    4,529	2968
3163	garantizar	    4,529	2968
3164	tarjeta	    4,529	2968
3165	consenso 	    4,528	2968
3166	financieros	    4,528	2968
3167	llamados 	    4,528	2968
3168	consiguiente	    4,524	2965
3169	secretos	    4,523	2964
3170	debían	    4,522	2964
3171	dispuestos 	    4,522	2964
3172	pensado 	    4,522	2964
3173	surge	    4,521	2963
3174	pepe 	    4,518	2961
3175	existía	    4,517	2960
3176	espectador 	    4,516	2960
3177	precisa	    4,516	2960
3178	jurado	    4,515	2959
3179	agencias 	    4,513	2958
3180	convencido 	    4,510	2956
3181	fiscales	    4,508	2954
3182	córdoba 	    4,507	2954
3183	oreja	    4,506	2953
3184	alemana 	    4,505	2952
3185	chicos	    4,502	2951
3186	ochenta 	    4,502	2951
3187	botella	    4,499	2949
3188	femenina 	    4,498	2948
3189	examen  	    4,497	2947
3190	ambiental	    4,494	2945
3191	pri	    4,494	2945
3192	pasaron 	    4,493	2945
3193	contaba 	    4,491	2943
3194	barrios	    4,488	2941
3195	llevaron	    4,487	2941
3196	policial	    4,485	2939
3197	invitados	    4,482	2937
3198	entrenador	    4,479	2935
3199	risa	    4,478	2935
3200	circunstancia	    4,474	2932
3201	tendencias 	    4,473	2931
3202	etapas 	    4,472	2931
3203	roca	    4,465	2926
3204	comparación 	    4,464	2926
3205	provoca	    4,464	2926
3206	vieron	    4,464	2926
3207	muñoz  	    4,455	2920
3208	autónoma  	    4,453	2918
3209	prevención	    4,453	2918
3210	dama 	    4,451	2917
3211	líquido	    4,450	2916
3212	estarán	    4,446	2914
3213	xviii	    4,446	2914
3214	decidir	    4,445	2913
3215	tribunales	    4,441	2911
3216	calma 	    4,437	2908
3217	suficientemente	    4,429	2903
3218	comentario 	    4,428	2902
3219	tv	    4,427	2901
3220	garantía	    4,425	2900
3221	protagonistas	    4,425	2900
3222	mandato 	    4,424	2899
3223	temprano 	    4,424	2899
3224	artística	    4,423	2899
3225	obreros	    4,423	2899
3226	quinto	    4,420	2897
3227	imprescindible	    4,418	2895
3228	retrato	    4,418	2895
3229	cero	    4,417	2895
3230	ésa 	    4,414	2893
3231	desaparecido 	    4,413	2892
3232	soviética	    4,411	2891
3233	temperaturas 	    4,408	2889
3234	baile	    4,405	2887
3235	curioso	    4,405	2887
3236	fronteras	    4,405	2887
3237	ensayo 	    4,402	2885
3238	desconocido 	    4,399	2883
3239	dichos	    4,398	2882
3240	queso 	    4,397	2882
3241	vecino	    4,396	2881
3242	empresarial	    4,394	2880
